Delivery Period (EET),2024-12-08 (GWP/Mwh),2024-12-07 (GWP/Mwh),2024-12-06 (GWP/Mwh),2024-12-05 (GWP/Mwh),2024-12-04 (GWP/Mwh),2024-12-03 (GWP/Mwh),2024-12-02 (GWP/Mwh)
01:00 - 01:30,"35,55","64,34","19,00","93,91","101,56","96,21","68,99"
01:30 - 02:00,"30,80","65,66","16,45","93,50","103,22","89,98","65,34"
02:00 - 02:30,"30,00","55,68","11,62","86,02","97,78","84,91","58,63"
02:30 - 03:00,"41,00","67,12","16,92","88,53","101,61","90,31","65,43"
03:00 - 03:30,"31,80","59,22","10,08","84,33","96,39","91,50","60,00"
03:30 - 04:00,"28,50","56,02","4,42","82,27","94,00","86,70","53,50"
04:00 - 04:30,"31,01","47,69","11,28","79,54","92,00","89,58","45,00"
04:30 - 05:00,"27,93","40,31","12,51","78,12","91,80","88,07","39,88"
05:00 - 05:30,"21,95","36,44","12,02","70,01","90,08","90,66","38,95"
05:30 - 06:00,"20,92","33,19","9,09","70,01","90,08","87,96","34,99"
06:00 - 06:30,"16,59","32,77","15,05","76,24","96,90","98,36","55,02"
06:30 - 07:00,"10,07","29,23","11,38","74,46","92,97","91,94","55,00"
07:00 - 07:30,"9,96","32,27","51,00","87,26","108,99","107,98","93,32"
07:30 - 08:00,"9,90","30,51","50,08","88,66","109,22","105,64","92,09"
08:00 - 08:30,"10,00","30,24","83,93","103,08","123,28","116,00","110,47"
08:30 - 09:00,"16,08","32,64","83,90","101,40","138,58","119,93","103,37"
09:00 - 09:30,"29,95","41,40","100,06","106,08","153,24","119,70","110,00"
09:30 - 10:00,"30,00","45,85","100,00","111,91","180,18","136,29","110,01"
10:00 - 10:30,"48,02","56,00","99,93","106,03","173,06","130,17","109,99"
10:30 - 11:00,"61,10","56,00","100,07","110,09","181,85","129,70","109,96"
11:00 - 11:30,"61,95","93,91","99,02","103,20","169,56","124,95","109,98"
11:30 - 12:00,"76,10","106,42","99,01","104,03","163,99","122,09","104,85"
12:00 - 12:30,"78,01","115,03","91,10","95,77","162,94","123,48","99,00"
12:30 - 13:00,"82,00","117,04","94,26","102,04","154,70","120,10","94,05"
13:00 - 13:30,"85,01","111,02","96,05","102,81","150,09","115,78","96,67"
13:30 - 14:00,"90,00","110,36","102,79","104,00","148,90","114,05","97,00"
14:00 - 14:30,"89,41","108,34","103,00","105,29","149,78","115,50","104,04"
14:30 - 15:00,"100,00","105,99","106,40","105,89","146,50","116,57","104,10"
15:00 - 15:30,"101,76","92,91","106,64","108,06","149,03","120,61","102,01"
15:30 - 16:00,"100,00","89,47","107,90","108,00","140,96","117,37","95,05"
16:00 - 16:30,"97,57","78,05","104,01","102,01","142,86","125,12","106,53"
16:30 - 17:00,"93,06","77,10","104,03","101,96","132,68","128,25","105,08"
17:00 - 17:30,"90,00","69,64","108,80","102,02","143,03","139,13","104,98"
17:30 - 18:00,"93,00","71,77","111,60","103,86","144,70","141,42","109,93"
18:00 - 18:30,"103,57","84,99","122,92","107,00","171,04","158,00","115,67"
18:30 - 19:00,"111,80","94,95","126,58","109,90","171,08","166,00","126,77"
19:00 - 19:30,"120,08","91,77","128,08","104,07","159,08","164,61","125,98"
19:30 - 20:00,"120,60","93,13","125,36","103,50","148,92","160,46","127,96"
20:00 - 20:30,"116,11","84,92","113,00","98,36","146,22","156,03","122,40"
20:30 - 21:00,"113,11","75,21","109,09","95,01","123,95","150,45","122,01"
21:00 - 21:30,"105,01","67,11","100,95","100,91","112,06","136,56","111,32"
21:30 - 22:00,"100,01","70,00","105,04","101,97","111,08","136,03","105,08"
22:00 - 22:30,"100,01","63,00","97,91","97,00","106,90","130,36","101,62"
22:30 - 23:00,"99,28","57,00","97,92","83,24","106,14","124,97","97,24"
23:00 - 23:30,"99,93","61,41","94,92","76,22","99,93","120,96","115,42"
23:30 - 00:00,"92,07","46,71","90,00","62,47","100,04","112,71","97,13"
00:00 - 00:30,"87,08","48,02","83,97","50,15","93,96","108,85","85,09"
00:30 - 01:00,"71,65","36,60","77,16","34,24","90,00","96,65","85,07"
